 reference:       x                    y                  z          rover (approximate):      x                  y                  z 
            4075535.184           931821.775        4801609.099                          4075599.632         931875.237        4801587.744


nrsat      xref             yref           zref            pref            L1ref            L2ref            xrov            yrov             zrov           prov           L1rov           L2rov 

  2    21033386.902   -14744458.633     6153404.598    23133171.127    109045604.65     78747741.51    21033391.447   -14744454.921     6153397.411    23133163.312    110054430.82     84054567.30
  5    12256138.134   -10005130.381    21294527.255    21413947.777     99615987.93     72195859.24    12256145.025   -10005124.324    21294526.183    21413966.883    101074635.87     77261123.10
  6    25130107.900    -6625686.310    -5457970.992    24610400.222    116581385.05     85335716.53    25130107.778    -6625680.655    -5457978.424    24610356.812    117404489.99     90354230.35
  7    14468780.430     9360028.103    20438166.588    20580518.129     95700592.02     68680865.39    14468773.218     9360033.035    20438169.361    20580482.922     96699193.65     73368205.12
  9     9144710.513    19114180.246    16001149.729    21948258.459    102814005.22     74328941.27     9144706.117    19114186.670    16001144.566    21948216.112    103718071.76     79456633.23
 13    12592183.845   -20624262.825    11017220.905    23996535.762    113678144.28     82707528.03    12592187.159   -20624257.243    11017227.462    23996565.946    114161332.23     87836228.72
 16   -12662531.888     8012322.541    21886110.675    24943505.094    118472251.79     86374666.99   -12662538.362     8012315.906    21886109.449    24943553.357    119246358.69     91430908.87
  2    21058044.356   -14744050.448     6062510.701    23145845.579    109112214.69     78799645.41    21058048.877   -14744046.724     6062503.504    23145799.284    110120831.78     84106308.32
  5    12321114.627    -9955773.963    21280772.782    21403124.402     99559116.26     72151543.65    12321121.514    -9955767.906    21280771.677    21403105.295    101017554.21     77216643.86
  6    25114019.819    -6610023.176    -5550281.865    24630484.114    116686928.34     85417958.06    25114019.670    -6610017.511    -5550289.289    24630401.680    117509824.78     90436309.42
  7    14398318.332     9390427.916    20473020.788    20584035.817     95719086.74     68695276.87    14398311.015     9390432.891    20473023.577    20583962.672     96717481.11     73382455.08
  9     9131746.700    19174002.788    15936828.861    21962176.590    102887145.94     74385934.05     9131742.304    19174009.192    15936823.673    21962094.316    103791003.46     79513463.13
 13    12588426.702   -20581427.988    11099987.421    23978335.975    113582505.97     82633004.64    12588430.004   -20581422.325    11099994.072    23978327.339    114065485.50     87761542.95
 16   -12725575.050     7957503.191    21870667.625    24959810.599    118557936.90     86441434.59   -12725581.434     7957496.631    21870666.387    24959819.811    119331836.61     91497515.03
  2    21082394.563   -14743532.935     5971498.731    23158596.102    109179195.04     78851837.89    21082399.059   -14743529.198     5971491.525    23158605.231    110188128.16     84158747.06
  5    12386129.041    -9906558.317    21266609.434    21392393.192     99502696.25     72107580.02    12386135.921    -9906552.260    21266608.297    21392428.628    100961449.34     77172925.80
  6    25097639.684    -6594193.997    -5642486.513    24650577.585    116792497.91     85500220.09    25097639.531    -6594188.342    -5642493.805    24650550.539    117615710.90     90518818.06
